step:3600/3600, q_loss:0, rewards:-611.8105555555557
episode:0/200, average travel time:1562.9176470588236
intersection:17, mean_episode_reward:-1.349722222222223
intersection:18, mean_episode_reward:-0.671388888888889
intersection:19, mean_episode_reward:-1.2636111111111115
intersection:20, mean_episode_reward:-0.9452777777777777
intersection:21, mean_episode_reward:-0.4841666666666667
intersection:22, mean_episode_reward:-1.0719444444444446
intersection:23, mean_episode_reward:-0.8236111111111111
intersection:24, mean_episode_reward:-0.7849999999999997
intersection:25, mean_episode_reward:-0.5388888888888889
intersection:26, mean_episode_reward:-0.4677777777777778
intersection:27, mean_episode_reward:-0.456388888888889
intersection:28, mean_episode_reward:-1.1955555555555557
intersection:29, mean_episode_reward:-1.3472222222222219
intersection:30, mean_episode_reward:-0.6688888888888888
intersection:31, mean_episode_reward:-0.2383333333333333
intersection:32, mean_episode_reward:-14.735555555555557
intersection:33, mean_episode_reward:-17.209722222222222
intersection:34, mean_episode_reward:-12.89722222222222
intersection:35, mean_episode_reward:-17.365277777777774
intersection:36, mean_episode_reward:-10.665555555555555
intersection:37, mean_episode_reward:-9.861111111111109
intersection:38, mean_episode_reward:-13.804999999999998
intersection:39, mean_episode_reward:-10.614166666666666
intersection:40, mean_episode_reward:-7.595000000000001
intersection:41, mean_episode_reward:-8.875000000000002
intersection:42, mean_episode_reward:-11.844444444444441
intersection:43, mean_episode_reward:-13.583055555555552
intersection:44, mean_episode_reward:-26.814722222222226
intersection:45, mean_episode_reward:-31.907777777777756
intersection:46, mean_episode_reward:-9.773055555555555
intersection:47, mean_episode_reward:-85.02111111111111
Test step:2/200, travel time :2925.6576470588234, rewards:-1269.3541666666665
step:3600/3600, q_loss:24.749143600463867, rewards:-504.67833333333334
episode:3/200, average travel time:1319.0188235294117
intersection:0, mean_episode_reward:-4.15111111111111
intersection:1, mean_episode_reward:-1.961111111111111
intersection:2, mean_episode_reward:-4.495833333333334
intersection:3, mean_episode_reward:-4.113611111111111
intersection:4, mean_episode_reward:-3.8249999999999993
intersection:5, mean_episode_reward:-3.052777777777779
intersection:6, mean_episode_reward:-4.159166666666667
intersection:7, mean_episode_reward:-5.857222222222219
intersection:8, mean_episode_reward:-4.280277777777775
intersection:9, mean_episode_reward:-3.658888888888889
intersection:10, mean_episode_reward:-4.809999999999999
intersection:11, mean_episode_reward:-3.3072222222222205
intersection:12, mean_episode_reward:-4.537222222222221
intersection:13, mean_episode_reward:-6.658333333333332
intersection:14, mean_episode_reward:-6.39777777777778
intersection:15, mean_episode_reward:-1.4819444444444438
intersection:16, mean_episode_reward:-0.49972222222222207
intersection:17, mean_episode_reward:-2.0686111111111116
intersection:18, mean_episode_reward:-0.29833333333333345
intersection:19, mean_episode_reward:-0.7697222222222224
intersection:20, mean_episode_reward:-1.1108333333333333
intersection:21, mean_episode_reward:-0.13444444444444442
intersection:22, mean_episode_reward:-2.878055555555556
intersection:23, mean_episode_reward:-0.6372222222222221
intersection:24, mean_episode_reward:-0.7372222222222221
intersection:25, mean_episode_reward:-0.365
intersection:26, mean_episode_reward:-0.09666666666666666
intersection:27, mean_episode_reward:-0.54
intersection:28, mean_episode_reward:-0.9297222222222226
intersection:29, mean_episode_reward:-0.6280555555555556
intersection:30, mean_episode_reward:-1.1063888888888889
intersection:31, mean_episode_reward:-0.35916666666666663
intersection:32, mean_episode_reward:-0.44138888888888883
intersection:33, mean_episode_reward:-2.378611111111111
intersection:34, mean_episode_reward:-2.2125000000000004
intersection:35, mean_episode_reward:-28.530833333333334
intersection:36, mean_episode_reward:-11.178611111111111
intersection:37, mean_episode_reward:-10.412499999999998
intersection:38, mean_episode_reward:-18.851388888888888
intersection:39, mean_episode_reward:-12.10611111111111
intersection:40, mean_episode_reward:-10.179722222222221
intersection:41, mean_episode_reward:-46.131388888888885
intersection:42, mean_episode_reward:-22.60888888888889
intersection:43, mean_episode_reward:-22.691666666666666
intersection:44, mean_episode_reward:-13.76222222222222
intersection:45, mean_episode_reward:-69.56888888888889
intersection:46, mean_episode_reward:-59.60055555555556
intersection:47, mean_episode_reward:-94.11638888888889
Test step:3/200, travel time :2925.8135294117646, rewards:-1264.480277777778
